,rank,title,rating
141,142,Ran,8.2 (134K)
142,143,Jyuragi gongwon,8.2 (1.1M)
143,144,판의 미로 - 오필리아와 세 개의 열쇠,8.2 (696K)
144,145,식스 센스,8.2 (1M)
145,146,Unforgiven,8.2 (431K)
146,147,A Beautiful Mind,8.2 (975K)
147,148,노인을 위한 나라는 없다,8.2 (1M)
148,149,The Treasure of the Sierra Madre,8.2 (131K)
149,150,Yôjinbô,8.2 (130K)
150,151,The Thing,8.2 (458K)
151,152,킬 빌,8.2 (1.2M)
152,153,Monty Python and the Holy Grail,8.2 (565K)
153,154,The Great Escape,8.2 (256K)
154,155,Finding Nemo,8.2 (1.1M)
155,156,라쇼몽,8.2 (178K)
156,157,The Elephant Man,8.2 (255K)
157,158,Chinatown,8.2 (345K)
158,159,Howlui umjikineun seong,8.2 (436K)
159,160,프리즈너스,8.1 (789K)
160,161,Dial M for Murder,8.2 (186K)
161,162,바람과 함께 사라지다,8.2 (330K)
162,163,브이 포 벤데타,8.2 (1.2M)
163,164,"Lock, Stock and Two Smoking Barrels",8.1 (609K)
164,165,El Sikeuleto: Bimil-ui Nundongja,8.2 (220K)
165,166,Raging Bull,8.1 (375K)
166,167,인사이드 아웃,8.1 (770K)
167,168,쓰리 빌보드,8.1 (545K)
168,169,Godzilla -1.0,8.4 (36K)
169,170,스파이더맨: 노 웨이 홈,8.2 (856K)
170,171,Trainspotting,8.1 (717K)
171,172,The Bridge on the River Kwai,8.1 (231K)
172,173,파고,8.1 (715K)
173,174,Warrior,8.1 (492K)
174,175,클라우스,8.2 (185K)
175,176,캐치 미 이프 유 캔,8.1 (1.1M)
176,177,그랜 토리노,8.1 (807K)
177,178,Tonari no Totoro,8.1 (371K)
178,179,밀리언 달러 베이비,8.1 (715K)
179,180,Haeri Poteowa jugeumui seongmul - 2bu,8.1 (934K)
180,181,Children of Heaven,8.2 (79K)
181,182,블레이드 러너,8.1 (812K)
182,183,12 Years a Slave,8.1 (733K)
183,184,비포 선라이즈,8.1 (333K)
184,185,The Grand Budapest Hotel,8.1 (873K)
185,186,Ben-Hur,8.1 (251K)
186,187,Barry Lyndon,8.1 (180K)
187,188,Gone Girl,8.1 (1M)
188,189,The Gold Rush,8.1 (117K)
189,190,핵소 고지,8.1 (581K)
190,191,In the Name of the Father,8.1 (185K)
191,192,Salinui chueok,8.1 (210K)
192,193,On the Waterfront,8.1 (163K)
193,194,The General,8.1 (97K)
194,195,The Deer Hunter,8.1 (358K)
195,196,죽은 시인의 사회,8.1 (534K)
196,197,Waildeu Teiljeu: Cham-eul Su Eobsneun Sungan,8.1 (213K)
197,198,매드맥스: 분노의 도로,8.1 (1.1M)
198,199,Smultronstället,8.1 (113K)
199,200,The Third Man,8.1 (180K)
200,201,Le salaire de la peur,8.2 (65K)
201,202,Sherlock Jr.,8.2 (56K)
202,203,"Monsters, Inc.",8.1 (964K)
203,204,Mr,8.1 (120K)
204,205,죠스,8.1 (650K)
205,206,드래곤 길들이기,8.1 (788K)
206,207,Mary and Max,8.1 (185K)
207,208,Ford v Ferrari,8.1 (452K)
208,209,라따뚜이,8.1 (806K)
209,210,The Seventh Seal,8.1 (196K)
210,211,Room,8.1 (444K)
211,212,위대한 레보스키,8.1 (850K)
212,213,동경 이야기,8.1 (67K)
213,214,록키,8.1 (619K)
214,215,Hotel Rwanda,8.1 (369K)
215,216,로건,8.1 (817K)
216,217,스포트라이트,8.1 (496K)
217,218,Platoon,8.1 (434K)
218,219,La passion de Jeanne d'Arc,8.1 (60K)
219,220,터미네이터,8.1 (912K)
220,221,Jai Bhim,8.7 (214K)
221,222,Before Sunset,8.1 (284K)
222,223,Rush,8.1 (506K)
223,224,The Best Years of Our Lives,8.1 (69K)
224,225,Network,8.1 (168K)
225,226,엑소시스트: 디렉터스 컷,8.1 (448K)
226,227,La haine,8.1 (192K)
227,228,Stand by Me,8.1 (434K)
228,229,캐리비안의 해적: 블랙펄의 저주,8.1 (1.2M)
229,230,오즈의 마법사,8.1 (423K)
230,231,The Incredibles,8.0 (794K)
231,232,Into the Wild,8.1 (651K)
232,233,Hachi: A Dog's Tale,8.1 (306K)
233,234,To Be or Not to Be,8.1 (42K)
234,235,Ahgassi,8.1 (168K)
235,236,Babam ve Oglum,8.2 (91K)
236,237,The Grapes of Wrath,8.1 (99K)
237,238,La battaglia di Algeri,8.1 (65K)
238,239,사랑의 블랙홀,8.0 (673K)
239,240,사운드 오브 뮤직,8.1 (256K)
240,241,Amores perros,8.1 (251K)
241,242,Rebecca,8.1 (145K)
242,243,Cool Hand Luke,8.1 (187K)
243,244,The Iron Giant,8.1 (222K)
244,245,헬프,8.1 (486K)
245,246,어느 날 밤에 생긴 일,8.1 (111K)
246,247,The 400 Blows,8.1 (126K)
247,248,Pather Panchali,8.2 (38K)
248,249,알라딘,8.0 (458K)
249,250,Dances with Wolves,8.0 (286K)
